,respondent,task,interval,time,company,purpose,detail,description,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
0,3,1,2s,94.0,Whistles,Clothing,Panda bear,"There were pictures of people of different ages/genders wearing the clothes. There was a link to men's clothes, women's clothes, and children's clothes.",7.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,False
1,3,2,2s,425.0,Glasses 4 U,"Glasses, contact lenses, sunglasses",1,"Pictures of people smiling, some with sunglasses.",6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,False
2,3,3,2s,73.0,Hillsport,Sport gear,2022,There was a picture of a white leopard. There was a logo for Hillsport which was a red hill.,6.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,False
3,3,4,2s,85.0,Weathery,Information about the weather,Monday,"There were lots of different weather forecasts, e.g. 15 degrees Celsius for certain places. There were pictures to accompany the forecasts, e.g. sunny with cloud.",7.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,False
4,3,5,2s,413.0,Mega Zoo,Pet supplies,Paw prints,There were different pictures of items for pets,5.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,False
5,3,6,2s,719.0,Tech Live,Information on energy sources,A large battery-operated machine outside,There was some text and some different links. One was about battery sources. I saw a mention of 'energy'.,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,False
6,4,1,2s,64.0,Whistles,Clothes,I don't know,Some pictures of kids,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,False
7,4,2,2s,91.0,I-care,I don't know,I don't know,"Pictures of people with sunglasses on, mostly white color.",6.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,False
8,4,3,2s,84.0,Hillsport,I don't know,I don't know,"Picture of mountain landscapes with people on it, a big animal on the left.",5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,False
9,4,4,2s,81.0,Weathery,Meteo forecast,I don't know,"A big map in the middle, small weather forecasts on the right.",4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,False
10,4,5,2s,72.0,Mega Zoo,I don't know,I don't know,"A big banner at the top, some pictures at the bottom.",5.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,False
11,4,6,2s,116.0,I don't know.,I don't know,I don't know,"Mostly white, pictures in the middle, links on the left and right sides, looked like a blog.",3.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,False
12,5,1,2s,120.0,whistles,clothes for children,leopard,small logo to upper left with blue background and white writing.  pictures of children wearing sustainable clothing,7.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,False
13,5,2,2s,140.0,i care,holidays,2,its a website  selling holidays/vacations with pictures of people at the beach,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,False
14,5,3,2s,93.0,hillsport,clothing for hill walkers i think,dont know,i saw a leopard in a picture with the word hillsport at the top,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,False
15,5,4,2s,125.0,weathery,a website for weather containing a large graphic in the middle with text and small pictures around the sides,i dont know,"a large weather map in the middle with writing at the sides, the map was mainly blue as was the logo",7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,False
