,respondent,task,interval,time,company,purpose,purpose_eval,detail,description,desc_eval_comp,desc_eval_elem,desc_eval_char,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
0,3,1,2s,94,1,Clothing,1,0,"There were pictures of people of different ages/genders wearing the clothes. There was a link to men's clothes, women's clothes, and children's clothes.",1,2,0,7,7,7,6,6,5,6,7,7,7,FALSE
1,3,2,2s,425,0,"Glasses, contact lenses, sunglasses",1,0,"Pictures of people smiling, some with sunglasses.",0,1,0,6,6,7,6,6,6,6,7,7,7,FALSE
2,3,3,2s,73,1,Sport gear,1,0,There was a picture of a white leopard. There was a logo for Hillsport which was a red hill.,1,2,0,6,7,7,6,5,6,6,7,7,6,FALSE
3,3,4,2s,85,1,Information about the weather,1,0,"There were lots of different weather forecasts, e.g. 15 degrees Celsius for certain places. There were pictures to accompany the forecasts, e.g. sunny with cloud.",1,2,0,7,7,7,6,7,5,6,7,7,6,FALSE
4,3,5,2s,413,1,Pet supplies,1,1,There were different pictures of items for pets,0,1,0,5,5,6,4,5,4,5,6,6,4,FALSE
5,3,6,2s,719,1,Information on energy sources,0,0,There was some text and some different links. One was about battery sources. I saw a mention of 'energy'.,1,2,0,3,3,5,4,4,5,4,5,5,4,FALSE
6,4,1,2s,64,1,Clothes,1,0,Some pictures of kids,0,1,0,4,4,4,5,5,5,3,5,5,3,FALSE
7,4,2,2s,91,1,I don't know,0,0,"Pictures of people with sunglasses on, mostly white color.",1,1,1,6,3,5,3,5,3,4,3,4,3,FALSE
8,4,3,2s,84,1,I don't know,0,0,"Picture of mountain landscapes with people on it, a big animal on the left.",1,2,0,5,4,4,4,5,5,4,5,5,4,FALSE
9,4,4,2s,81,1,Meteo forecast,1,0,"A big map in the middle, small weather forecasts on the right.",1,2,0,4,4,4,4,5,3,3,5,5,3,FALSE
10,4,5,2s,72,1,I don't know,0,0,"A big banner at the top, some pictures at the bottom.",1,2,0,5,2,4,2,4,2,3,2,3,4,FALSE
11,4,6,2s,116,0,I don't know,0,0,"Mostly white, pictures in the middle, links on the left and right sides, looked like a blog.",1,2,1,3,3,3,4,5,3,2,3,4,2,FALSE
12,5,1,2s,120,1,clothes for children,1,0,small logo to upper left with blue background and white writing.  pictures of children wearing sustainable clothing,1,2,0,7,6,6,4,6,5,6,6,6,6,FALSE
13,5,2,2s,140,1,holidays,0,1,its a website  selling holidays/vacations with pictures of people at the beach,0,1,0,6,7,7,7,7,7,7,7,6,6,FALSE
14,5,3,2s,93,1,clothing for hill walkers i think,1,0,i saw a leopard in a picture with the word hillsport at the top,0,1,0,7,6,6,6,6,7,6,7,6,6,FALSE
15,5,4,2s,125,1,a website for weather containing a large graphic in the middle with text and small pictures around the sides,1,0,"a large weather map in the middle with writing at the sides, the map was mainly blue as was the logo",1,2,1,7,6,7,6,7,6,6,7,7,6,FALSE
16,5,5,2s,135,1,i think it was food oriented,0,0,a red and yellow website with red circle containing the text 60secs,0,1,1,2,4,6,2,6,2,4,4,2,5,FALSE
17,5,6,2s,149,1,information on technology,1,0,text down both sides of the website with pictures in the middle one was a building and another was a woman with surprise on her face,1,3,0,7,4,7,5,6,5,6,6,7,5,FALSE
18,7,1,2s,182,1,"clothings for men, women and chrildren ",1,1,"the page is for a sustainable clothing company, which makes clothing for all the family. The colours used were very neutral.",1,0,1,7,4,6,4,5,4,3,4,7,2,FALSE
19,7,2,2s,293,1,Although the main image and title makes it look like the company sells holidays they actually sell eyewear - sunglasses and contact lenses,1,1,"The page was quite simple. I like the images which showed the different categories of products they sell. The main image and the heading at first glance do make it appear like the company sells holidays, it is not until you look further down the page and see the products they sell that i knew they sold eyewear. ",2,3,1,6,4,5,4,2,5,3,4,3,3,FALSE
20,7,3,2s,216,1,sportswear?,1,0,the logo which included a hill and the colour red. A large main image that had an image of a big cat and writing about that collection on the side. Underneath that was some columns with images on which i would assume showed the products that the company sells.,3,4,0,6,5,5,5,4,4,3,4,6,5,FALSE
21,7,4,2s,232,1,weather updates,1,1,The main image is of a map which showed what the weather was going to be like across that area. There was also a longer weather forecast below that. There was an orange box at the side with an umbrella in and some text and below that images and the headlines of some articles.,3,4,0,5,4,6,4,6,3,2,4,6,1,FALSE
22,7,5,2s,137,1,products for animals,1,0,a page for a company called megazoo. They sell products for animals. The website used bright primary colours.,0,0,1,6,5,5,4,5,3,4,5,6,5,FALSE
23,7,6,2s,151,1,information about the tech industry,1,0,blog or news site about the tech industry. it was made up of lots of links to articles/blog posts,0,1,0,3,3,5,5,6,4,3,4,5,3,FALSE
24,8,1,2s,73,1,Clothing,1,0,"I saw three different pictures at the bottom - one for womens, one for mens and one for children's clothing. The logo was quite small and in the top left hand corner",1,2,0,6,6,6,6,5,6,2,6,6,5,FALSE
25,8,2,2s,80,1,Eyewear,1,0,I saw three different pillars - one of them was sunglasses. Each pillar had a picture with it. It had a yellow and blue theme,1,2,1,6,6,6,4,5,5,3,5,6,3,FALSE
