,respondent,task,interval,time,company,purpose,purpose_eval,detail,description,desc_eval_comp,desc_eval_elem,desc_eval_char,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
0,3,1,2s,94.0,1.0,Clothing,1.0,0.0,"There were pictures of people of different ages/genders wearing the clothes. There was a link to men's clothes, women's clothes, and children's clothes.",-,-,-,7.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,False
1,3,2,2s,425.0,0.0,"Glasses, contact lenses, sunglasses",1.0,0.0,"Pictures of people smiling, some with sunglasses.",-,-,-,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,False
2,3,3,2s,73.0,1.0,Sport gear,1.0,0.0,There was a picture of a white leopard. There was a logo for Hillsport which was a red hill.,-,-,-,6.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,False
3,3,4,2s,85.0,1.0,Information about the weather,1.0,0.0,"There were lots of different weather forecasts, e.g. 15 degrees Celsius for certain places. There were pictures to accompany the forecasts, e.g. sunny with cloud.",-,-,-,7.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,False
4,3,5,2s,413.0,1.0,Pet supplies,1.0,1.0,There were different pictures of items for pets,-,-,-,5.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,False
5,3,6,2s,719.0,1.0,Information on energy sources,0.0,0.0,There was some text and some different links. One was about battery sources. I saw a mention of 'energy'.,-,-,-,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,False
6,4,1,2s,64.0,1.0,Clothes,1.0,0.0,Some pictures of kids,-,-,-,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,False
7,4,2,2s,91.0,1.0,I don't know,0.0,0.0,"Pictures of people with sunglasses on, mostly white color.",-,-,-,6.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,False
8,4,3,2s,84.0,1.0,I don't know,0.0,0.0,"Picture of mountain landscapes with people on it, a big animal on the left.",-,-,-,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,False
9,4,4,2s,81.0,1.0,Meteo forecast,1.0,0.0,"A big map in the middle, small weather forecasts on the right.",-,-,-,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,False
